id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ec155aaa-8fd1-11eb-924d-9cd76263cbd0,genus,Wislizenia,,,Engelm.,,1848,,"Mem. Tour N. Mexico 99. 1848.",,,,,,,wfo-4000040778,3054189,,
d75d4f96-8fd1-11eb-924d-9cd76263cbd0,species,californica,Wislizenia,,Greene,,1906,,"Proc. Biol. Soc. Wash. 19(28): 130 1906",,,,,,268881-2,wfo-0001290501,3872099,,
bcbf5d6e-8fd1-11eb-924d-9cd76263cbd0,species,costellata,Wislizenia,,"Rose ex Greene",,1906,,"Proc. Biol. Soc. Wash. 19(28): 132 1906",,,,,,148168-1,wfo-0001248033,3872089,,
d75d88c6-8fd1-11eb-924d-9cd76263cbd0,species,divaricata,Wislizenia,,Greene,,1906,,"Proc. Biol. Soc. Wash. 19(28): 130 1906",,,,,,268883-2,wfo-0001290503,3872081,,
c1c7b31a-8fd1-11eb-924d-9cd76263cbd0,species,fruticosa,Wislizenia,,Greene,,1906,,"Proc. Biol. Soc. Wash. 19(28): 131–132 1906",,,,,,268884-2,wfo-0001257469,3872072,,
c1c7d070-8fd1-11eb-924d-9cd76263cbd0,species,mamillata,Wislizenia,,"Rose ex Greene",,1906,,"Proc. Biol. Soc. Wash. 19(28): 132 1906",,,,,,268885-2,wfo-0001257470,3872063,,
b59cfe06-8fd1-11eb-924d-9cd76263cbd0,species,melilotoides,Wislizenia,,Greene,,1906,,"Proc. Biol. Soc. Wash. 19(28): 130 1906",,,,,,268886-2,wfo-0001234830,3872054,,
5d20d450-8fcc-11eb-924d-9cd76263cbd0,species,pacalis,Wislizenia,,Greene,,1906,,"Proc. Biol. Soc. Wash. 19: 131 1906",,,,,,268887-2,wfo-0000427588,3872048,,
d75d6c60-8fd1-11eb-924d-9cd76263cbd0,species,palmeri,Wislizenia,,A.Gray,,1873,,"Proc. Amer. Acad. Arts 8: 622 1873",,,,,,268888-2,wfo-0001290502,3872037,,
d749a05e-8fd1-11eb-924d-9cd76263cbd0,species,refracta,Wislizenia,,Engelm.,,1848,,"Mem. Tour N. Mexico 99 1848",,,,,,30124682-2,wfo-0001290370,3054190,,
d753072a-8fd1-11eb-924d-9cd76263cbd0,subspecies,californica,Wislizenia,refracta,"(Greene) S.Keller",,1979,,"Brittonia 31(3): 348 1979",,Q55769282,,,,268889-2,wfo-0001290433,3872021,,
c6524a3a-8fd1-11eb-924d-9cd76263cbd0,variety,mamillata,Wislizenia,refracta,"(Rose ex Greene) I.M.Johnst.",,,,"Proc. Calif. Acad. Sci., ser. 4, 12: 1027 1924",,,,c1c7d070-8fd1-11eb-924d-9cd76263cbd0,,,wfo-0001265653,8402129,,
b59d18dc-8fd1-11eb-924d-9cd76263cbd0,variety,melilotoides,Wislizenia,refracta,"(Greene) I.M.Johnst.",,,,"Proc. Calif. Acad. Sci., ser. 4, 12(30): 1028 1924",,,,b59cfe06-8fd1-11eb-924d-9cd76263cbd0,,268891-2,wfo-0001234831,3872014,,
d75e22ea-8fd1-11eb-924d-9cd76263cbd0,variety,palmeri,Wislizenia,refracta,"(A.Gray) I.M.Johnst.",,,,"Proc. Calif. Acad. Sci., ser. 4, 12(30): 1028 1924",,,,,,268893-2,wfo-0001290508,3871986,,
b59d32d6-8fd1-11eb-924d-9cd76263cbd0,species,scabrida,Wislizenia,,Eastw.,,1903,,"Bull. Torrey Bot. Club 30(9): 490–491 1903",,Q55766763,,,,268894-2,wfo-0001234832,3871974,,
