id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ec28f452-8fd1-11eb-924d-9cd76263cbd0,genus,Xiphopteris,,,Kaulf.,,"Berlin. Jahrb. Pharm. Verbundenen Wiss. 21: 35. 1820.",,,,,,wfo-4000040995,7339080,
d21d0a34-8fcd-11eb-924d-9cd76263cbd0,species,aethiopica,Xiphopteris,,Pic.Serm.,,"Webbia 27: 450 1973",,,,,17464080-1,wfo-0001119595,3751402,
d2668178-8fcd-11eb-924d-9cd76263cbd0,species,albobrunnea,Xiphopteris,,Schelpe,,,,,,,,wfo-0001120238,3751388,
d263c9e2-8fcd-11eb-924d-9cd76263cbd0,species,allosuroides,Xiphopteris,,"(Rosenst.) Crabbe",,"Brit. Fern Gaz. 9: 318 1967",,,,,269542-2,wfo-0001120216,3751374,
d2669d3e-8fcd-11eb-924d-9cd76263cbd0,species,alternidens,Xiphopteris,,"(Ces.) Copel.",,"Gen. Fil. (Copeland) 215 1947",,,,,17425090-1,wfo-0001120239,3751366,
d263e4c2-8fcd-11eb-924d-9cd76263cbd0,species,amphidasyon,Xiphopteris,,"(Kunze ex Mett.) Alston",,,,,,,1161717-2,wfo-0001120217,3751341,
d266b71a-8fcd-11eb-924d-9cd76263cbd0,species,antipodalis,Xiphopteris,,Copel.,,"Univ. Calif. Publ. Bot. 18: 224 1942",,,,,17425110-1,wfo-0001120240,3751332,
d25d7042-8fcd-11eb-924d-9cd76263cbd0,species,aphelolepis,Xiphopteris,,"(C.V.Morton) Pic.Serm.",,"Webbia 28(2): 472 1973",,,,,269544-2,wfo-0001120159,3751319,
d26402cc-8fcd-11eb-924d-9cd76263cbd0,species,apiculata,Xiphopteris,,"(Kunze ex Klotzsch) Copel.",,"Fl. Mesoamer. 1: 377 1995",,,,,,wfo-0001120218,3751311,
d266d3bc-8fcd-11eb-924d-9cd76263cbd0,species,apoensis,Xiphopteris,,"(Copel.) Copel.",,"Gen. Fil. (Copeland) 215 1947",,,,,17425120-1,wfo-0001120241,3751302,
d2642996-8fcd-11eb-924d-9cd76263cbd0,species,aromatica,Xiphopteris,,"(Maxon) Crabbe",,"Brit. Fern Gaz. 9: 318 1967",,,,,269545-2,wfo-0001120219,3751287,
d266f0fe-8fcd-11eb-924d-9cd76263cbd0,species,ascensionensis,Xiphopteris,,"(Hieron.) Cronk",,"Biol. Conservation 17: 208 1980",,,,,17557690-1,wfo-0001120242,3751278,
d1da1e18-8fcd-11eb-924d-9cd76263cbd0,species,auyantepuiensis,Xiphopteris,,Vareschi,,"Fl. Venezuela 1(2): 879 1969",,,,,,wfo-0001119006,3751261,
cf55c304-8fcd-11eb-924d-9cd76263cbd0,species,basiattenuata,Xiphopteris,,"(Jenman) Copel.",,"Amer. Fern J. 42(3): 104 1952",,,,,269547-2,wfo-0001113607,3751247,
d20a6dfc-8fcd-11eb-924d-9cd76263cbd0,species,blepharidea,Xiphopteris,,"(Copel.) Copel.",,"Amer. Fern J. 42(3): 99 1952",,,,,1157420-2,wfo-0001119429,3751222,
cf55fa2c-8fcd-11eb-924d-9cd76263cbd0,species,blepharodes,Xiphopteris,,"(Maxon) Copel.",,"Amer. Fern J. 42(3): 109 1952",,,,,269549-2,wfo-0001113608,3751207,
d20c9730-8fcd-11eb-924d-9cd76263cbd0,species,blepharolepis,Xiphopteris,,"(C.Chr.) Copel.",,"Amer. Fern J. 42(3): 109 1952",,,,,269550-2,wfo-0001119445,3751196,
d2670d8c-8fcd-11eb-924d-9cd76263cbd0,species,bryophylla,Xiphopteris,,Parris,,,,,,,,wfo-0001120243,3751177,
d20b3412-8fcd-11eb-924d-9cd76263cbd0,species,buesii,Xiphopteris,,"(Maxon) Copel.",,"Amer. Fern J. 42(3): 105 1952",,,,,269551-2,wfo-0001119436,3751159,
d1d63668-8fcd-11eb-924d-9cd76263cbd0,species,capillaris,Xiphopteris,,"(Desv.) Crabbe",,"Brit. Fern Gaz. 9: 318 1967",,,,,269552-2,wfo-0001118973,3751145,
d20a3724-8fcd-11eb-924d-9cd76263cbd0,species,caucana,Xiphopteris,,"(Hieron.) Copel.",,"Amer. Fern J. 42(3): 98 1952",,,,,269553-2,wfo-0001119427,3751128,
d2648c7e-8fcd-11eb-924d-9cd76263cbd0,species,choquetangensis,Xiphopteris,,"(Rosenst.) Crabbe",,"Brit. Fern Gaz. 9: 318 1967",,,,,269554-2,wfo-0001120220,3751111,
d267437e-8fcd-11eb-924d-9cd76263cbd0,species,conjunctisora,Xiphopteris,,"(Baker) Copel.",,"Philipp. J. Sci. 81: 94 1953",,,,,17425190-1,wfo-0001120245,3751100,
cf56c844-8fcd-11eb-924d-9cd76263cbd0,species,cookii,Xiphopteris,,"(Underw. & Maxon) Copel.",,"Amer. Fern J. 42: 98 1952",,,,,269555-2,wfo-0001113611,3751082,
d2675fb2-8fcd-11eb-924d-9cd76263cbd0,species,cornigera,Xiphopteris,,"(Baker) Copel.",,"Gen. Fil. (Copeland) 215 1947",,,,,17425210-1,wfo-0001120246,3751072,
d2677c40-8fcd-11eb-924d-9cd76263cbd0,species,cucullata,Xiphopteris,,Spreng.,,,,,,,,wfo-0001120247,3751064,
d264a9ca-8fcd-11eb-924d-9cd76263cbd0,species,cultrata,Xiphopteris,,"(Willd.) Schelpe",,"Bol. Soc. Brot., sér. 2, 41: 217 1967",,,,,17464160-1,wfo-0001120221,3751048,
d20b4f38-8fcd-11eb-924d-9cd76263cbd0,species,daguensis,Xiphopteris,,"(Hieron.) Copel.",,"Amer. Fern J. 42(3): 107 1952",,,,,269556-2,wfo-0001119437,3751027,
cf5852e0-8fcd-11eb-924d-9cd76263cbd0,species,delitescens,Xiphopteris,,"(Maxon) Copel.",,"Amer. Fern J. 42(2): 51 1952",,,,,269557-2,wfo-0001113617,3751009,
d267b3a4-8fcd-11eb-924d-9cd76263cbd0,species,elastica,Xiphopteris,,"(Bory ex Willd.) Alston",,"Bol. Soc. Brot., sér. 2, 26: 27 1956",,,,,17425240-1,wfo-0001120249,3751001,
d267cf24-8fcd-11eb-924d-9cd76263cbd0,species,exilis,Xiphopteris,,Parris,,,,,,,,wfo-0001120250,3750990,
cce7c4b4-8fcd-11eb-924d-9cd76263cbd0,species,extensa,Xiphopteris,,Fée,,"Mém. Foug. 11: 14, t. 19, f. 3 1866",,,,,17235580-1,wfo-0001108624,3750984,
cddc86fc-8fcd-11eb-924d-9cd76263cbd0,species,flabelliformis,Xiphopteris,,"(Poir.) Schelpe",,"Bol. Soc. Brot., sér. 2, 41: 217 1967",,,,,17464170-1,wfo-0001110826,3750966,
d267ea90-8fcd-11eb-924d-9cd76263cbd0,species,glandulosopilosa,Xiphopteris,,"(Brause) Copel.",,"Gen. Fil. (Copeland) 215 1947",,,,,17425250-1,wfo-0001120251,8153635,
d26805f2-8fcd-11eb-924d-9cd76263cbd0,species,govidjoaensis,Xiphopteris,,"(Brause) Copel.",,"Gen. Fil. (Copeland) 215 1947",,,,,17425260-1,wfo-0001120252,3750947,
d209feda-8fcd-11eb-924d-9cd76263cbd0,species,grisebachii,Xiphopteris,,"(Underw. ex C.Chr.) Copel.",,"Amer. Fern J. 42(3): 95 1952",,,,,269558-2,wfo-0001119425,3750925,
d2091d26-8fcd-11eb-924d-9cd76263cbd0,species,hartii,Xiphopteris,,"(Jenman) Copel.",,"Amer. Fern J. 42(3): 93 1952",,,,,269559-2,wfo-0001119417,2650347,
d2682258-8fcd-11eb-924d-9cd76263cbd0,species,hecistophylla,Xiphopteris,,"(Copel.) Copel.",,"Gen. Fil. (Copeland) 215 1947",,,,,17425290-1,wfo-0001120253,3750900,
d264c504-8fcd-11eb-924d-9cd76263cbd0,species,heteromorpha,Xiphopteris,,"(Hook. & Grev.) Crabbe",,"Brit. Fern Gaz. 9: 318 1967",,,,,269560-2,wfo-0001120222,7339084,
b3d7e6da-8fd1-11eb-924d-9cd76263cbd0,variety,dependens,Xiphopteris,heteromorpha,"(Baker) Crabbe",,"Brit. Fern Gaz. 9: 318 1967",,,,,269561-2,wfo-0001231579,3750875,
d2683cf2-8fcd-11eb-924d-9cd76263cbd0,species,heterophylla,Xiphopteris,,Spreng.,,,,,,,,wfo-0001120254,3750858,
d268584a-8fcd-11eb-924d-9cd76263cbd0,species,hieronymusii,Xiphopteris,,Holttum,,,,,,,,wfo-0001120255,3750849,
cce81860-8fcd-11eb-924d-9cd76263cbd0,species,hildebrandtii,Xiphopteris,,"(Hieron.) Tardieu",,"Notul. Syst. (Paris) 15(4): 444 1959",,,,,,wfo-0001108627,7700406,
d20b8836-8fcd-11eb-924d-9cd76263cbd0,species,hyalina,Xiphopteris,,"(Maxon) Copel.",,"Amer. Fern J. 42(3): 107 1952",,,,,269562-2,wfo-0001119439,3750829,
