id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ec35e1f8-8fd1-11eb-924d-9cd76263cbd0,genus,Zea,,,L.,,1753,,"Sp. Pl. 2: 971. 1753. (1 May 1753)",,,,,,19280-1,wfo-4000041167,2705049,,
6b77be78-8fcd-11eb-924d-9cd76263cbd0,species,alba,Zea,,Mill.,,1768,,"Gard. Dict. ed. 8 2 1768",,,,,,426784-1,wfo-0000907732,5678550,,
6b77dbec-8fcd-11eb-924d-9cd76263cbd0,species,altissima,Zea,,"J.F.Gmel. ex Steud.",,1821,,"Nomencl. Bot. 898 1821",,,,,,426785-1,wfo-0000907733,5678548,,
6b77f8f2-8fcd-11eb-924d-9cd76263cbd0,species,americana,Zea,,Mill.,,1768,,"Gard. Dict. ed. 8 1 1768",,,,,,426786-1,wfo-0000907734,5678544,,
6b7816f2-8fcd-11eb-924d-9cd76263cbd0,species,amylacea,Zea,,Sturtev.,,1894,,"Bull. Torrey Bot. Club 21: 333 1894",,,,,,,wfo-0000907735,5678540,,
6b7837cc-8fcd-11eb-924d-9cd76263cbd0,species,amyleosaccharata,Zea,,"Sturtev. ex L.H.Bailey",,1894,,"Bull. Torrey Bot. Club 21: 334 1894",,,,,,,wfo-0000907736,5945557,,
6b785856-8fcd-11eb-924d-9cd76263cbd0,species,canina,Zea,,S.Watson,,1891,,"Proc. Amer. Acad. Arts 26: 160 1891",,,,,,270859-2,wfo-0000907737,5678530,,
6b787eb2-8fcd-11eb-924d-9cd76263cbd0,species,cryptosperma,Zea,,Bonaf.,,1836,,"Hist. Nat. Mais 30 1836",,,,,,,wfo-0000907738,5678524,,
6b78bb8e-8fcd-11eb-924d-9cd76263cbd0,species,curagua,Zea,,Molina,,1782,,"Sag. Stor. Nat. Chili 129, 354 1782",,,,,,426793-1,wfo-0000907739,5678521,,
6b78e456-8fcd-11eb-924d-9cd76263cbd0,species,diploperennis,Zea,,"Iltis, Doebley & R.Guzmán",,1979,,"Science 203: 186 1979",,,,,,306962-2,wfo-0000907740,5290048,,
6b79374e-8fcd-11eb-924d-9cd76263cbd0,species,erythrolepis,Zea,,Bonaf.,,1836,,"Hist. Nat. Mais 30 1836",,,,,,,wfo-0000907742,5678518,,
6b79687c-8fcd-11eb-924d-9cd76263cbd0,species,everta,Zea,,Sturtev.,,1884,,"Rep. (Annual) New York Agric. Exp. Sta., Geneva 1884: 183 1884",,,,,,,wfo-0000907743,5678516,,
6b79be26-8fcd-11eb-924d-9cd76263cbd0,species,gigantea,Zea,,Voss,,,,"Vilm. Blumengärtn. ed. 3 1: 1189 1895",,,,,,,wfo-0000907744,8559635,,
6b79e55e-8fcd-11eb-924d-9cd76263cbd0,species,glumacea,Zea,,Larrañaga,,1922,,"Escritos D. A. Larrañaga 1: 217 1922",,,,,,270860-2,wfo-0000907745,5678511,,
6b7a0c0a-8fcd-11eb-924d-9cd76263cbd0,species,gracillima,Zea,,Voss,,,,"Vilm. Blumengärtn. ed. 3 1: 1190 1895",,,,,,,wfo-0000907746,7897770,,
6b7a7d8e-8fcd-11eb-924d-9cd76263cbd0,species,hirta,Zea,,Bonaf.,,1836,,"Ann. Sci. Nat. (Paris) 17: 158 1836",,,,,,426801-1,wfo-0000907747,5678507,,
6b7a9d82-8fcd-11eb-924d-9cd76263cbd0,species,indentata,Zea,,Sturtev.,,1894,,"Bull. Torrey Bot. Club 21: 329 1894",,,,,,,wfo-0000907748,5678503,,
6b7ab8e4-8fcd-11eb-924d-9cd76263cbd0,species,indurata,Zea,,Sturtev.,,1894,,"Bull. Torrey Bot. Club 21: 327 1894",,,,,,,wfo-0000907749,5678500,,
6b7ad590-8fcd-11eb-924d-9cd76263cbd0,species,japonica,Zea,,"Van Houtte",,1865,,"Ann. Gén. Hort. 16: 121 1865",,,,,,426806-1,wfo-0000907750,5678497,,
6b7b1fd2-8fcd-11eb-924d-9cd76263cbd0,species,luxurians,Zea,,"(Durieu & Asch.) R.M.Bird",,1978,,"Taxon 27: 363 1978",,Q28954645,,531decee-8fcd-11eb-924d-9cd76263cbd0,,270861-2,wfo-0000907752,5290053,,
6b7b635c-8fcd-11eb-924d-9cd76263cbd0,species,macrosperma,Zea,,Klotzsch,,1851,,"Bot. Zeitung (Berlin) 9: 718 1851",,,,,,426808-1,wfo-0000907753,5678492,,
c4cdf6fa-8fd1-11eb-924d-9cd76263cbd0,species,maiz,Zea,,Vell.,,1825,,"Fl. Flumin. 10(t. 3): 1825",,,,,,426809-1,wfo-0001262908,5678489,,
6b7b8c42-8fcd-11eb-924d-9cd76263cbd0,species,mays,Zea,,L.,,1753,,"Sp. Pl. 971 1753",,,,,,426810-1,wfo-0000907754,5290052,,
6b7c4ca4-8fcd-11eb-924d-9cd76263cbd0,subspecies,acuminata,Zea,mays,Golosk.,,1966,,"Syst. Kukur 87 1966",,,,,,,wfo-0000907757,5945568,,
6b7c788c-8fcd-11eb-924d-9cd76263cbd0,subspecies,amylacea,Zea,mays,"(Sturtev.) Zhuk.",,1950,,"Kult. Rast. Sorod. 121 1950",,,,6b7816f2-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000907758,5828307,,
