id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ec38c6ca-8fd1-11eb-924d-9cd76263cbd0,genus,Zeuxine,,,Lindl.,0,1825,,"Coll. Bot. , App.: 1 (1826)",,,,,,urn:lsid:ipni.org:names:325743-2,wfo-4000041206,2802985,,
1c0cac5a-8fcc-11eb-924d-9cd76263cbd0,species,abbreviata,Zeuxine,,Hook.f.,0,1890,,"Fl. Brit. India 6: 109 (1890)",,,Q6144451,,,urn:lsid:ipni.org:names:661506-1,wfo-0000335242,2812904,,
1c0ce760-8fcc-11eb-924d-9cd76263cbd0,species,affinis,Zeuxine,,"Benth. ex Hook.f.",0,1890,,"Fl. Brit. India 6: 108 (1890)",,,Q6144451,,,urn:lsid:ipni.org:names:661507-1,wfo-0000335243,2803150,,
1c0d3c38-8fcc-11eb-924d-9cd76263cbd0,species,africana,Zeuxine,,Rchb.f.,0,1867,,"Flora 50: 103 (1867)",,,Q5862699,,,urn:lsid:ipni.org:names:661508-1,wfo-0000335244,2803127,,
1c0d5a4c-8fcc-11eb-924d-9cd76263cbd0,species,agyokuana,Zeuxine,,Fukuy.,0,1934,,"Bot. Mag. (Tokyo) 48: 433 (1934)",,Q55762706,Q2269599,,,urn:lsid:ipni.org:names:661509-1,wfo-0000335245,2803100,,
1c0d772a-8fcc-11eb-924d-9cd76263cbd0,species,alticola,Zeuxine,,Schltr.,0,1911,,"Repert. Spec. Nov. Regni Veg. Beih. 1: 81 (1911)",,,,,,urn:lsid:ipni.org:names:661510-1,wfo-0000335246,2812932,,
1c0d9264-8fcc-11eb-924d-9cd76263cbd0,species,amboinensis,Zeuxine,,"(J.J.Sm.) J.J.Sm.",0,1904,,"Icon. Bogor. 2: 259 1904",,,,,,,wfo-0000335247,2803027,,
aeb65f1a-8fd1-11eb-924d-9cd76263cbd0,species,amboinensis,Zeuxine,,"(J.J.Sm.) Schltr.",0,1906,,"Icon. Bogor. 2: 259 (1904)",,,,,,urn:lsid:ipni.org:names:661511-1,wfo-0001222191,8138555,,
1c0dd03a-8fcc-11eb-924d-9cd76263cbd0,species,andamanica,Zeuxine,,"King & Pantl.",0,1897,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 66: 599 (1897)",,,,,,urn:lsid:ipni.org:names:661512-1,wfo-0000335249,2803163,,
1c0e1fc2-8fcc-11eb-924d-9cd76263cbd0,species,androcardium,Zeuxine,,Schltr.,0,1910,,"Repert. Spec. Nov. Regni Veg. 9: 90 (1910)",,Q55752182,,,,urn:lsid:ipni.org:names:661513-1,wfo-0000335250,2803072,,
1c0e4f24-8fcc-11eb-924d-9cd76263cbd0,species,argentea,Zeuxine,,Schltr.,0,1911,,"Repert. Spec. Nov. Regni Veg. Beih. 1: 79 (1911)",,,,,,urn:lsid:ipni.org:names:661514-1,wfo-0000335251,2803029,,
1c0e760c-8fcc-11eb-924d-9cd76263cbd0,species,arisanensis,Zeuxine,,Hayata,0,1914,,"Icon. Pl. Formosan. 4: 106 (1914)",,,,,,urn:lsid:ipni.org:names:661515-1,wfo-0000335252,2803152,,
1c0e934e-8fcc-11eb-924d-9cd76263cbd0,species,assamica,Zeuxine,,"I.Barua & K.Barua",0,1997,,"J. Econ. Taxon. Bot. 21: 491 (1997)",,,,,,urn:lsid:ipni.org:names:1009197-1,wfo-0000335253,2803014,,
1c0eae9c-8fcc-11eb-924d-9cd76263cbd0,species,atrorubens,Zeuxine,,Schltr.,0,1911,,"Repert. Spec. Nov. Regni Veg. Beih. 1: 82 (1911)",,,,,,urn:lsid:ipni.org:names:661516-1,wfo-0000335254,2812936,,
1c0ecb84-8fcc-11eb-924d-9cd76263cbd0,species,attenuata,Zeuxine,,"R.S.Rogers & C.T.White",0,1920,,"Proc. Roy. Soc. Queensland 32: 123 (1920)",,,,,,urn:lsid:ipni.org:names:661517-1,wfo-0000335255,2814927,,
1c0ee592-8fcc-11eb-924d-9cd76263cbd0,species,aurantiaca,Zeuxine,,Schltr.,0,1924,,"Repert. Spec. Nov. Regni Veg. 19: 377 (1924)",,Q55808517,,,,urn:lsid:ipni.org:names:661518-1,wfo-0000335256,2803154,,
1c165f52-8fcc-11eb-924d-9cd76263cbd0,species,baliensis,Zeuxine,,J.J.Sm.,0,1927,,"Bull. Jard. Bot. Buitenzorg , sér. 3, 9: 139 (1927)",,,Q2839028,,,urn:lsid:ipni.org:names:661562-1,wfo-0000335308,6315797,,
1c0f019e-8fcc-11eb-924d-9cd76263cbd0,species,ballii,Zeuxine,,P.J.Cribb,0,1977,,"Kew Bull. 32: 150 (1977)",,Q43230546,,,,urn:lsid:ipni.org:names:661519-1,wfo-0000335257,2803090,,
1c0f1d3c-8fcc-11eb-924d-9cd76263cbd0,species,batesii,Zeuxine,,Rolfe,0,1897,,"Fl. Trop. Afr. 7: 182 (1897)",,,Q3700392,,,urn:lsid:ipni.org:names:661520-1,wfo-0000335258,2828052,,
1c0fa34c-8fcc-11eb-924d-9cd76263cbd0,species,benguetensis,Zeuxine,,"(Ames) Ames",0,1938,,"Bot. Mus. Leafl. 5: 100 (1938)",,Q100426052,Q5732619,,,urn:lsid:ipni.org:names:661521-1,wfo-0000335260,2803176,,
