id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ec3aa526-8fd1-11eb-924d-9cd76263cbd0,genus,Zingeria,,,P.A.Smirn.,,1946,,"Byull. Moskovsk. Obshch. Isp. Prir. Otd. Biol. 51(2): 67. 1946.",,,,,,19287-1,wfo-4000041229,4139319,,
6b9d9ae4-8fcd-11eb-924d-9cd76263cbd0,species,biebersteiniana,Zingeria,,"(Claus) P.A.Smirn.",,1946,,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. n.s., 51(2): 67 1946",,,,472660c4-8fcd-11eb-924d-9cd76263cbd0,,426949-1,wfo-0000907980,4139388,,
6b9db984-8fcd-11eb-924d-9cd76263cbd0,subspecies,trichopoda,Zingeria,biebersteiniana,"(Boiss.) R.R.Mill",,1985,,"Fl. Turkey 9: 365 1985",,,,,,924646-1,wfo-0000907981,4139387,,
6b9dd842-8fcd-11eb-924d-9cd76263cbd0,species,densior,Zingeria,,"(Hack.) Chrtek",,1963,,"Novit. Bot. Delect. Seminum Horti Bot. Univ. Carol. Prag. 1963: 3 1963",,,,c8597212-8fcd-11eb-924d-9cd76263cbd0,,426950-1,wfo-0000907982,4139374,,
6b9df5c0-8fcd-11eb-924d-9cd76263cbd0,species,kochii,Zingeria,,"(Mez) Tzvelev",,,,"Bot. Zhurn. (Moscow & Leningrad) 50: 1318 1965",,,,,,426951-1,wfo-0000907983,4139368,,
6b9e1258-8fcd-11eb-924d-9cd76263cbd0,species,pisidica,Zingeria,,"(Boiss.) Tutin",,1978,,"Bot. J. Linn. Soc. 76: 365 1978",,Q43295696,,,,426952-1,wfo-0000907984,4139345,,
6b9e31f2-8fcd-11eb-924d-9cd76263cbd0,subspecies,poiformis,Zingeria,pisidica,"(Boiss.) Dogan",,1982,,"Notes Roy. Bot. Gard. Edinburgh 40: 86 1982",,,,,,,wfo-0000907985,5944344,,
6b9e53d0-8fcd-11eb-924d-9cd76263cbd0,species,trichopoda,Zingeria,,"(Boiss.) P.A.Smirn.",,1946,,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. n.s., 51(2): 67 1946",,,,,,426953-1,wfo-0000907986,4139329,,
6b9e71da-8fcd-11eb-924d-9cd76263cbd0,subspecies,biebersteiniana,Zingeria,trichopoda,"(Claus) Dogan",,1982,,"Notes Roy. Bot. Gard. Edinburgh 40: 86 1982",,,,472660c4-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000907987,4139328,,
6b9e8f44-8fcd-11eb-924d-9cd76263cbd0,species,verticillata,Zingeria,,"(Boiss. & Bal.) Chrtek",,1963,,"Novit. Bot. Delect. Seminum Horti Bot. Univ. Carol. Prag. 1963: 3 1963",,,,,,426954-1,wfo-0000907988,4139318,,
6b9eddaa-8fcd-11eb-924d-9cd76263cbd0,species,verticillata,Zingeriopsis,,"(Boiss. & Bal.) Prob.",,1977,,"Novosti Sist. Vyssh. Rast. 14: 1 1977",,,,,,426955-1,wfo-0000907990,4139297,,
